Deployment,Summer Fall EDD,Winter Spring EDD
101,4.263914,5.79701
102,3.578985,3.753137
103,6.41043,5.249974
104,5.637507,2.871927
105,7.057709,7.177076
201,3.407095,4.986823
202,4.095082,4.857451
203,4.600254,9.395222
204,4.116368,6.51586
205,4.130416,2.89419
206,5.082083,5.577648
301,3.487485,4.065696
302,3.181156,3.380356
303,5.208019,5.341318
304,3.786655,5.068786
305,4.769841,4.457895
401,3.388495,5.684264
402,5.895859,4.051196
403,2.988569,4.100789
404,6.670226,6.134594
405,9.052833,3.826602
406,5.14863,5.456071
501,4.771117,4.140063
502,4.455619,6.773658
503,3.109189,4.71641
504,4.229172,3.694992
505,3.611794,7.444093
